Score,Text,Summary,clean_text,sentiment_gt,vader_neg,vader_neu,vader_pos,vader_compound,vader_label,tb_polarity,tb_subjectivity,tb_label
1,"This product has no resemblance to green tea, in color or flavor. I tried it once and threw the rest out. I know and love Japanese style green tea, and decaf green never tastes as good as regular green.  Even so, Bigelow's decaf green is much less offensive than this one. Perhaps if I didn't know this Twinings was supposed to be green tea, I wouldn't dislike it so much, but it's not worth suffering through the whole box to find out.",Awful,this product has no resemblance to green tea in color or flavor i tried it once and threw the rest out i know and love japanese style green tea and decaf green never tastes as good as regular green even so bigelow s decaf green is much less offensive than this one perhaps if i didn t know this twinings was supposed to be green tea i wouldn t dislike it so much but it s not worth suffering through the whole box to find out,negative,0.095,0.841,0.063,-0.0063,neutral,0.005952380952380943,0.27454212454212457,neutral
1,"Thought I was doing a good thing for my doxie mix by getting one of the better brands as listed on dogfoodanalysis but boy was I mistaken. Gradually made the change from her old food to the new and she hates it. She has thrown up twice so far. I will be taking my loss and throwing the rest out. Back to her old food. It may be great for some dogs, just didn't work for mine.",Made my dog ill.,thought i was doing a good thing for my doxie mix by getting one of the better brands as listed on dogfoodanalysis but boy was i mistaken gradually made the change from her old food to the new and she hates it she has thrown up twice so far i will be taking my loss and throwing the rest out back to her old food it may be great for some dogs just didn t work for mine,negative,0.11,0.786,0.104,-0.128,negative,0.30454545454545456,0.4630681818181819,positive
1,"They are tasteless, but I could not stand the FEEL.  I threw them all away.  I would not even give them away.  This falls under.....""If it sounds too good to be true..it probably is"".",AWFUL,they are tasteless but i could not stand the feel i threw them all away i would not even give them away this falls under if it sounds too good to be true it probably is,negative,0.0,0.818,0.182,0.8201,positive,0.15,0.7166666666666667,positive
1,"Fine product, so I read.  Given that, I ordered multiple boxes of Pomi. Problem: use-by date just a few weeks from delivery of product. For me, buying from grocery store, though more expensive, is safer. I like Amazon, or want to, but I've received many 'bulk' products with impossibly soon 'Use By' dates.<br />Yes, Amazon, you do refund money.  No, Amazon, you do not address specific issues, eg: Please check with your supplier re: my complaint.  [Also applies to multiple boxes of Swanson Chicken Broth, which were so poorly packed the product leaked through the shipping box.] Shucks, reckon I'll give Amazon one more try, but that's it.]<br />Dr. B. Morrison",Use-by date unreasonable,fine product so i read given that i ordered multiple boxes of pomi problem use by date just a few weeks from delivery of product for me buying from grocery store though more expensive is safer i like amazon or want to but i ve received many bulk products with impossibly soon use by dates yes amazon you do refund money no amazon you do not address specific issues eg please check with your supplier re my complaint also applies to multiple boxes of swanson chicken broth which were so poorly packed the product leaked through the shipping box shucks reckon i ll give amazon one more try but that s it dr b morrison,negative,0.072,0.787,0.141,0.71,positive,-0.057692307692307696,0.43653846153846154,negative
1,I love chocolate cereal and I love Cap'N'Crunch so I was excited to try this. Gag me. It's awful. I don't know who taste tested this before it came out but they apparently arent familiar with the taste of chocolate. I dont know what this taste is?! I would like to give no stars.,Awful!,i love chocolate cereal and i love cap n crunch so i was excited to try this gag me it s awful i don t know who taste tested this before it came out but they apparently arent familiar with the taste of chocolate i dont know what this taste is i would like to give no stars,negative,0.098,0.75,0.151,0.5584,positive,0.13333333333333333,0.6333333333333334,positive
1,These pop rocks are XXXXtremely sour.  I gave them for trick or treat candy. They are so sour we could not get any children to eat the whole pack.  They threw their extra packs away. I still have half the container left and none of my children nor the neighborhood children want to eat them.,Buy a different flavor!!,these pop rocks are xxxxtremely sour i gave them for trick or treat candy they are so sour we could not get any children to eat the whole pack they threw their extra packs away i still have half the container left and none of my children nor the neighborhood children want to eat them,negative,0.021,0.909,0.07,0.4215,positive,-0.04444444444444445,0.14444444444444443,neutral
1,I purchased this product to treat my staph infection. The seller was very prompt in shipping the honey. I am still using it for the infection but do not know if it will really work. Results remain to be seen over time.,Medicinal Honey Purchased for Staph Infection,i purchased this product to treat my staph infection the seller was very prompt in shipping the honey i am still using it for the infection but do not know if it will really work results remain to be seen over time,negative,0.0,0.957,0.043,0.2144,positive,0.2,0.25,positive
1,"Tastes great because it's high in sugar. The third ingredient after corn flower and water is ""evaporated cane juice"" . That's chemically equivant to sugar.",High in Sugar,tastes great because it s high in sugar the third ingredient after corn flower and water is evaporated cane juice that s chemically equivant to sugar,negative,0.0,0.859,0.141,0.6249,positive,0.32,0.43,positive
1,"As far as taste goes, these are great... but of course they are, they are loaded with sugar!!!!! Organic dried cane syrup sounds like it's okay, but it's just a fancy way of wording the fact that these are made with SUGAR. There are other brands out there (would name them, but do not want the credibility of my review to plummet in case someone thinks I'm ""working"" for one of these other brands) that sweeten their puffs with fruit juice, a MUCH healthier option over these Plum brand puffs made with sugar. I am disappointed that I bought FOUR of these... save YOUR money and look elsewhere for a healthier option for your child :)",SUGAR FOR BABIES = NO THANK YOU!,as far as taste goes these are great but of course they are they are loaded with sugar organic dried cane syrup sounds like it s okay but it s just a fancy way of wording the fact that these are made with sugar there are other brands out there would name them but do not want the credibility of my review to plummet in case someone thinks i m working for one of these other brands that sweeten their puffs with fruit juice a much healthier option over these plum brand puffs made with sugar i am disappointed that i bought four of these save your money and look elsewhere for a healthier option for your child,negative,0.042,0.862,0.096,0.7886,positive,0.04999999999999999,0.5687500000000001,neutral
1,"One-star review is not a reflection of product but of shipping.  It is a pump spray which came without the pictured cap, so DEET was all over the 14""x12"" envelope in which it was shipped.  acehardwareoutlet is negligent with a toxic chemical, please stop ordering with them.",Negligent Shipping - no cap,one star review is not a reflection of product but of shipping it is a pump spray which came without the pictured cap so deet was all over the x envelope in which it was shipped acehardwareoutlet is negligent with a toxic chemical please stop ordering with them,negative,0.054,0.889,0.057,0.0387,neutral,0.0,0.0,neutral
1,"Here are the ingredients that are on the label:<br />Ingredients: Gum Base, Maltitol, Sorbitol, Xylitol, Glycerine, Natural Flavor, Gum Arabic, Stevita Stevia extract, Resinous Glaze, Soy Lecithin, Carnauba Wax<br /><br />This is NOT a stevia sweetened product, not as one would expect with something called ""Steviadent"" and with ""Stevia Dietary Supplement"" on the front of the package. Stevia shows up #8 on the ingredient list even AFTER Glycerine, Natural Flavor, Gum Arabic. And the term ""natural flavor"" can mean anything at all. The manufacturer doesn't have to tell you what it is because it is considered ""proprietary information""--could be ANYTHING, most likely something artificial, unnatural and most probably, something unhealthy or else the manufacturer would be proud to list it openly.<br /><br />I made the mistake of ordering this gum without checking the ingredients first. I even popped one into my mouth. It was pretty bad both in taste and texture; had to throw away the rest.<br /><br />There's another sugar-free gum that has less nasty ingredients:<br />It's Xlear Inc. Spry Xylitol Gum<br />Ingredients: Xylitol, gum base, natural flavor (spearmint oil), vegetable glycerin, gum Arabic, soy lecithin, beeswax.<br />It still has Xylitol in it which some people's systems can't tolerate but generally most people can and so far, research shows that the only ""side effect"" is loose bowels in some people. That might be a plus for some folks!<br /><br />Spry Gums have a much nicer texture and taste in my opinion and come in several different flavors and in jars of 100 and even 600. So the savings is phenomenal.<br /><br />Made with non-GMO Xylitol made from corn.<br />http://www.amazon.com/Xlear-Peppermint-Sugar-100-Pieces/dp/B000COIT8Y/ref=sr_1_4?ie=UTF8&qid=1342563776&sr=8-4&keywords=Xlear+Inc+Spry+Xylitol+Gum<br /><br />PS: there are much better stevia products available anyway.","Stevia sweetened?? Not really, don't be deceived.",here are the ingredients that are on the label ingredients gum base maltitol sorbitol xylitol glycerine natural flavor gum arabic stevita stevia extract resinous glaze soy lecithin carnauba wax this is not a stevia sweetened product not as one would expect with something called steviadent and with stevia dietary supplement on the front of the package stevia shows up on the ingredient list even after glycerine natural flavor gum arabic and the term natural flavor can mean anything at all the manufacturer doesn t have to tell you what it is because it is considered proprietary information could be anything most likely something artificial unnatural and most probably something unhealthy or else the manufacturer would be proud to list it openly i made the mistake of ordering this gum without checking the ingredients first i even popped one into my mouth it was pretty bad both in taste and texture had to throw away the rest there s another sugar free gum that has less nasty ingredients it s xlear inc spry xylitol gum ingredients xylitol gum base natural flavor spearmint oil vegetable glycerin gum arabic soy lecithin beeswax it still has xylitol in it which some people s systems can t tolerate but generally most people can and so far research shows that the only side effect is loose bowels in some people that might be a plus for some folks spry gums have a much nicer texture and taste in my opinion and come in several different flavors and in jars of and even so the savings is phenomenal made with non gmo xylitol made from corn ps there are much better stevia products available anyway,negative,0.038,0.891,0.071,0.8232,positive,0.014797008547008557,0.6107799145299144,neutral
1,"After eating TANG's chocolate and double-chocolate cookies, all other cookies will taste like expired, tepid dogfood to you. Her cookies will enhance your life in ways you never dreamed possible. Tim Horton's, Timothy's, Second Cup, Starbucks, Treats and those horrid packaged cookies at Zupas are just pathetic imitators to the grandeur that is a TANG cookie. HER COOKIES ARE DA BOMB!!! A+++++++ Hawt damn!",Pathetic cookie compared to TANG's,after eating tang s chocolate and double chocolate cookies all other cookies will taste like expired tepid dogfood to you her cookies will enhance your life in ways you never dreamed possible tim horton s timothy s second cup starbucks treats and those horrid packaged cookies at zupas are just pathetic imitators to the grandeur that is a tang cookie her cookies are da bomb a hawt damn,negative,0.162,0.765,0.073,-0.802,negative,-0.225,0.475,negative
1,"I guess if you want to keep raking in the money you have to fudge and mislead folk.  That's what SmokeHouse has done by adding 'USA' to their name.  I can say this without fear because the packages I have sitting on the kitchen table in front of me clearly say that this is a ""Product of China.""<br /><br />You know, the China where they feel free to add melamine to products for human babies (2008), and dogs and cats (2007 and 2010) -- all so that the protein levels register higher than they normally would :(<br /><br />I am so disappointed.  Honestly, my little Jack-a-Bee puppy loves their products, but I won't be purchasing the Chicken Chips or Chicken Breast Strips again.  I can't imagine telling my children that the lively little pup they love was made sick (or died!) because of some cheap-*** short-cut.<br /><br />I'd rather pay more money and have it manufactured here in the States.<br /><br />Pam T~<br />mom/blogger/dog lover",SmokeHouse USA?!?  Don't Think So...,i guess if you want to keep raking in the money you have to fudge and mislead folk that s what smokehouse has done by adding usa to their name i can say this without fear because the packages i have sitting on the kitchen table in front of me clearly say that this is a product of china you know the china where they feel free to add melamine to products for human babies and dogs and cats and all so that the protein levels register higher than they normally would i am so disappointed honestly my little jack a bee puppy loves their products but i won t be purchasing the chicken chips or chicken breast strips again i can t imagine telling my children that the lively little pup they love was made sick or died because of some cheap short cut i d rather pay more money and have it manufactured here in the states pam t mom blogger dog lover,negative,0.082,0.761,0.157,0.9308,positive,-0.04928571428571429,0.6026984126984127,neutral
1,"The selection of K-Cups was not as pictured.  Out of 34 cups, I received 13 vanilla and 6 hazelnut.  Only 4 cups were not a Green Mountain Coffee product.  I ordered the sampler pack specifically so that I could try different flavors from a variety of producers.  To say that I was dissapointed is an understatement.  Clearly this product was a collection of ""leftovers."" It come packaged in a stapled brown paper bag. Don't waste your time or money.","A Very ""Vanilla"" Sampler Pack",the selection of k cups was not as pictured out of cups i received vanilla and hazelnut only cups were not a green mountain coffee product i ordered the sampler pack specifically so that i could try different flavors from a variety of producers to say that i was dissapointed is an understatement clearly this product was a collection of leftovers it come packaged in a stapled brown paper bag don t waste your time or money,negative,0.035,0.932,0.034,-0.0258,neutral,0.0,0.45666666666666667,neutral
1,"frankly i don't care about the packaging, (some folks are up in arms about the new plastic bottles rather than the old tetra packs) but zico--which used to be my favorite coco water--no longer tastes as good as it once did. then i read that it's now FROM CONCENTRATE rather than being what it once was, and i don't see any reason to purchase it any longer. very disappointed.",used to be great...not any longer.,frankly i don t care about the packaging some folks are up in arms about the new plastic bottles rather than the old tetra packs but zico which used to be my favorite coco water no longer tastes as good as it once did then i read that it s now from concentrate rather than being what it once was and i don t see any reason to purchase it any longer very disappointed,negative,0.086,0.799,0.115,0.3737,positive,0.09227272727272724,0.645909090909091,positive
1,I have not bought yet...need to know how can a 25 pound bag go into a box and only weigh a total shiping weight of 20 and 1/2 pounds?,shipping???,i have not bought yet need to know how can a pound bag go into a box and only weigh a total shiping weight of and pounds,negative,0.0,1.0,0.0,0.0,neutral,0.0,0.875,neutral
1,"I recently prepared waffles with this product.  The result was gritty like dental polish, and not edible to me or the two people that tried it with me.",True Grit,i recently prepared waffles with this product the result was gritty like dental polish and not edible to me or the two people that tried it with me,negative,0.0,0.855,0.145,0.5267,positive,0.0,0.5,neutral
1,Made in china.... Enough said. Also third ingredient is sugar. I gave away the only box I bought. Will never buy again.,China,made in china enough said also third ingredient is sugar i gave away the only box i bought will never buy again,negative,0.0,1.0,0.0,0.0,neutral,0.0,0.5,neutral
1,"I tried this because I can't seem to find the Gloria Jean Serenity Tea which I liked very much.  The Celestial Seasonings was very very bland.  I even tried it on the smallest cup, and it made no difference.  There is no authentic flavor here.  I was brought up drinking green tea.  I especially like the Yama Moto brand green tea, but wanted something quick and easy in a k-cup. I like the Celestial Seasonings Mandarin Spice so I thought I would try the green tea.  I realize that coffee and tea are a personal preference.  For me, this green tea missed the mark completely.",Like Green Water,i tried this because i can t seem to find the gloria jean serenity tea which i liked very much the celestial seasonings was very very bland i even tried it on the smallest cup and it made no difference there is no authentic flavor here i was brought up drinking green tea i especially like the yama moto brand green tea but wanted something quick and easy in a k cup i like the celestial seasonings mandarin spice so i thought i would try the green tea i realize that coffee and tea are a personal preference for me this green tea missed the mark completely,negative,0.051,0.855,0.093,0.7092,positive,0.03538461538461539,0.5417948717948717,neutral
1,"I purchased two types, the original and the salt and vinegar. The original tasted burned, they were very tan/brown in color.  The vinegar were very sour.  Both cases were trashed & Amazon handled credit asap.  I have purchased these in grocery stores & airports and never had this quality problem.  These are pricey that's why I jumped at the great price Amazon offered this product.  Does Amazon got seconds?",Quality not what you find at local retailers,i purchased two types the original and the salt and vinegar the original tasted burned they were very tan brown in color the vinegar were very sour both cases were trashed amazon handled credit asap i have purchased these in grocery stores airports and never had this quality problem these are pricey that s why i jumped at the great price amazon offered this product does amazon got seconds,negative,0.034,0.762,0.205,0.8934,positive,0.311,0.536,positive
1,"THERE ARE WARNINGS ALL OVER THE NEWS AND INTERNET!!!  DO NOT FEED THESE TO YOUR DOG!!!!  THEY ARE MADE IN CHINA, AND CHICKEN JERKY MADE IN CHINA HAS BEEN ASSOCIATED WITH NUMEROUS CASES OF KIDNEY FAILURE!  .....You don't have to take my word for it....Google it.<br /><br />I purchased some from Costco, although my Aussie loved them, she started having urinary tract problems.  I immediately threw out the open bag and am returning the unopened bag.  I say a prayer every day, and hope she hasn't been hurt by this product.<br /><br />PLEASE do NOT feed your pet anything that is made outside the USA!!  There are many great products made right here in the USA, yes they may cost a bit more, but Is your pet's health and life really worth saving a few $$$?????<br /><br />DO NOT GIVE THESE TO YOUR DOG!!!!!!!!!!",***DANGER***  DO NOT BUY!!!!,there are warnings all over the news and internet do not feed these to your dog they are made in china and chicken jerky made in china has been associated with numerous cases of kidney failure you don t have to take my word for it google it i purchased some from costco although my aussie loved them she started having urinary tract problems i immediately threw out the open bag and am returning the unopened bag i say a prayer every day and hope she hasn t been hurt by this product please do not feed your pet anything that is made outside the usa there are many great products made right here in the usa yes they may cost a bit more but is your pet s health and life really worth saving a few do not give these to your dog,negative,0.05,0.864,0.085,0.664,positive,0.1640873015873016,0.4654761904761904,positive
1,How is this fairly priced at $96 when the same thing can be ordered direct from manufacturer online at $41???,Why?,how is this fairly priced at when the same thing can be ordered direct from manufacturer online at,negative,0.0,1.0,0.0,0.0,neutral,0.26666666666666666,0.4749999999999999,positive
1,"I purchased this wanting a pumpkin pie, I wasn't expecting Grandma's pie, just something similar or ""with the creamy taste and texture of pumpkin pie"". (ha ha)  This product needs a new name.  I feel like it's misleading.  People that think it taste like pumpkin are only associating it will the spice of a pumpkin pie.  Look at the ingredients - NO PUMPKIN - That being said it wasn't completely disgusting.  It just tasted like a spice pudding pie.  Save your money.  Buy the real deal cause this isn't even close.",Yuck - has no pumpkin and taste like a spice pie,i purchased this wanting a pumpkin pie i wasn t expecting grandma s pie just something similar or with the creamy taste and texture of pumpkin pie ha ha this product needs a new name i feel like it s misleading people that think it taste like pumpkin are only associating it will the spice of a pumpkin pie look at the ingredients no pumpkin that being said it wasn t completely disgusting it just tasted like a spice pudding pie save your money buy the real deal cause this isn t even close,negative,0.079,0.779,0.142,0.7102,positive,-0.13272727272727272,0.6309090909090909,negative
1,Two little plants grew to about an inch tall then died.  I tried everything - more water - less water - more sunlight - less sunlight.  Nothing seemd to make it better or worse - it just dies and very slow death.  might try it again at another time.,Not happy,two little plants grew to about an inch tall then died i tried everything more water less water more sunlight less sunlight nothing seemd to make it better or worse it just dies and very slow death might try it again at another time,negative,0.202,0.744,0.054,-0.8393,negative,0.02364583333333333,0.4066666666666667,neutral
1,"This is probably the worst coffee I have ever had.  Product was weeks from expiring when I received it.  I love coffes, but would never buy this kind again!",Never had coffe this bad!,this is probably the worst coffee i have ever had product was weeks from expiring when i received it i love coffes but would never buy this kind again,negative,0.07,0.709,0.221,0.7615,positive,0.033333333333333326,0.8333333333333334,neutral
1,"I gave these to my two shih tzu's and they have been throwing up for the past two days.  It was the only new item in their diets, so I know it is because of the treats. It seems I am not the only one with this problems according to the other reviews.",Made both of my dogs sick,i gave these to my two shih tzu s and they have been throwing up for the past two days it was the only new item in their diets so i know it is because of the treats it seems i am not the only one with this problems according to the other reviews,negative,0.056,0.944,0.0,-0.481,negative,-0.04772727272727273,0.615909090909091,neutral
